title,photo_url,res1,res2,res3,res4,mos1,mos2,mos3,mos4,final_mos
  lion face hoodie,https://storage.yandexcloud.net/svg-images-first-pack/goodAkramlyTShirtsvg.png,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.25
  the equation of the universe,https://storage.yandexcloud.net/svg-images-first-pack/good1539291913svg.png,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.5,3.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1498733291svg.png,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.75
  a cartoon beaver waving with his hand up,https://storage.yandexcloud.net/svg-images-first-pack/good1552571576svg.png,1.0,1.0,1.0,5.0,2.0,2.0,1.5,3.5,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good28Matthew28162001svg.png,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.5
  the word islam is written in arabic on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodAlepposvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1298110285svg.png,2.0,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.625
  a black and white drawing of various animals,https://storage.yandexcloud.net/svg-images-first-pack/goodAfricaAnimalssvg.png,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1351510667svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a cartoon character holding a wrench,https://storage.yandexcloud.net/svg-images-first-pack/good01Finalplaintransparentdevelopersvg.png,1.0,2.0,2.0,1.0,3.0,3.5,3.5,3.0,3.25
  a painting of a man in a military uniform,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardKosciuskosvg.png,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.25
  a cartoon cowboy with a gun and cowboy hat,https://storage.yandexcloud.net/svg-images-first-pack/goodCowboyAtTheReadysvg.png,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.5
  a cartoon green dragon with a long tail,https://storage.yandexcloud.net/svg-images-first-pack/goodArchitettoDragonsvg.png,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0
  a blue and gray pattern with a chain,https://storage.yandexcloud.net/svg-images-first-pack/goodChainBackgroundColoursvg.png,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.5
  a cartoon groundhog wearing glasses,https://storage.yandexcloud.net/svg-images-first-pack/good1530162938svg.png,4.0,4.0,4.0,5.0,3.5,3.5,3.5,3.5,3.5
  seja maker logo vector,https://storage.yandexcloud.net/svg-images-first-pack/good1546949892svg.png,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0
  a green and silver celtic symbol,https://storage.yandexcloud.net/svg-images-first-pack/goodbulletsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodchefcakesvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  the logo for lekka mie,https://storage.yandexcloud.net/svg-images-first-pack/good1308571012svg.png,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.5
  a black and yellow bird with a beak,https://storage.yandexcloud.net/svg-images-first-pack/goodblacksvg.png,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.25
  blue paper clip art,https://storage.yandexcloud.net/svg-images-first-pack/goodbluepaperstacksvg.png,5.0,5.0,5.0,5.0,4.0,4.0,3.5,4.0,3.875
  a vintage postcard of a fox with a red nose,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardWolfsvg.png,4.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,2.75
  cartoon man with briefcase and tie,https://storage.yandexcloud.net/svg-images-first-pack/goodBusinessmanColoursvg.png,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.5
  a square frame made of leaves,https://storage.yandexcloud.net/svg-images-first-pack/good1539872549svg.png,1.0,2.0,2.0,2.0,3.0,3.5,3.5,3.5,3.375
  ohio flag clipart,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousFlagofthestateofOhiosvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the texas flag is shown in this image,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousFlagofthestateofTexassvg.png,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.75
  a black background with a white hand reaching out,https://storage.yandexcloud.net/svg-images-first-pack/good2013pojatylpeenaylivakkuricqxxxe1azphosvg.png,5.0,3.0,3.0,1.0,3.5,3.5,4.0,2.5,3.375
  a comic book cover with a woman in green and a cat on the road,https://storage.yandexcloud.net/svg-images-first-pack/goodcomicbookcoversvg.png,2.0,2.0,2.0,1.0,1.5,1.5,1.5,1.0,1.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCelticKnotCross3svg.png,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0
  a painting of a bull,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardYaksvg.png,5.0,3.0,3.0,3.0,3.5,2.5,2.0,2.0,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodambigrammjakob2svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  children in different colors vector,https://storage.yandexcloud.net/svg-images-first-pack/good1449330229svg.png,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
  a red mug with a donut next to it,https://storage.yandexcloud.net/svg-images-first-pack/goodcoffeedoghnoutsvg.png,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
  a circle of pink flowers on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1543186541svg.png,3.0,3.0,3.0,3.0,2.5,3.5,4.0,4.0,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCornerOrnament3ByRebeccaReadsvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a red and white candy cannel,https://storage.yandexcloud.net/svg-images-first-pack/goodbluefrog23PeppermintCandysvg.png,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.0,4.625
  a black and white image of a bell,https://storage.yandexcloud.net/svg-images-first-pack/good1388313637svg.png,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbigmantalkingsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  santa claus flying in his sleigh over the night sky with trees and moon,https://storage.yandexcloud.net/svg-images-first-pack/goodChrisdesignxmascardsvg.png,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.75
  a man and woman in a wheelchair with many colored butterflies,https://storage.yandexcloud.net/svg-images-first-pack/good1545943891svg.png,5.0,5.0,5.0,5.0,4.0,5.0,4.5,4.0,4.375
  a movie and popcorn with 3d glasses,https://storage.yandexcloud.net/svg-images-first-pack/good3DGlasses3byMerlin2525svg.png,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
  an old illustration of a knight holding an axe,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardBattleAxesvg.png,5.0,4.0,4.0,5.0,5.0,4.5,4.0,4.5,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1412208753svg.png,1.0,2.0,1.0,2.0,2.0,2.0,1.5,2.5,2.0
  50 km/h speed limit sign,https://storage.yandexcloud.net/svg-images-first-pack/goodB3350svg.png,3.0,2.0,2.0,2.0,4.0,3.5,3.5,3.5,3.625
  a cartoon girl with a red bow on her head,https://storage.yandexcloud.net/svg-images-first-pack/good570414svg.png,3.0,3.0,2.0,3.0,2.0,2.0,1.5,2.0,1.875
  a cartoon bee flying in the air,https://storage.yandexcloud.net/svg-images-first-pack/goodabejasvg.png,3.0,5.0,4.0,3.0,2.5,3.5,3.0,2.5,2.875
  a green canada map with a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodCanadasvg.png,3.0,4.0,4.0,3.0,3.0,3.5,3.5,2.5,3.125
  a red balloon with a white ribbon on it,https://storage.yandexcloud.net/svg-images-first-pack/good1361788306svg.png,2.0,3.0,3.0,3.0,2.0,2.5,2.0,2.0,2.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter402svg.png,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.5,1.75
  a colorful abstract ring with a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractColorfulSphereBackgroundsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a parachute with a number on it and a number on it,https://storage.yandexcloud.net/svg-images-first-pack/good2016ParachuteSmoothsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black vase with flowers in it,https://storage.yandexcloud.net/svg-images-first-pack/good1353604444svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a set of green clocks with shadows,https://storage.yandexcloud.net/svg-images-first-pack/goodclockssvg.png,4.0,4.0,4.0,4.0,3.5,3.5,4.0,4.0,3.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter155svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a framed picture of a blue and white floral design,https://storage.yandexcloud.net/svg-images-first-pack/goodautumnfield0013svg.png,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.25
  a cartoon face with a crescent moon,https://storage.yandexcloud.net/svg-images-first-pack/good1489015182svg.png,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0
  a black and white illustration of a smiling face,https://storage.yandexcloud.net/svg-images-first-pack/good003svg.png,4.0,5.0,2.0,4.0,4.5,4.0,2.5,4.0,3.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodChinesePapercutPattern2svg.png,5.0,5.0,2.0,2.0,4.5,4.0,3.5,2.5,3.625
  a blue background with wavy lines,https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern295Colour3svg.png,4.0,3.0,5.0,4.0,4.5,4.0,5.0,4.5,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAngeloGemmidevilishmask2svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  blue guitar clip art,https://storage.yandexcloud.net/svg-images-first-pack/good1290156723svg.png,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.75
  three colorful birds flying in the air,https://storage.yandexcloud.net/svg-images-first-pack/goodbirdvectorsvg.png,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a couple standing on a balcony overlooking the ocean at sunset,https://storage.yandexcloud.net/svg-images-first-pack/goodCoupleSunsetsvg.png,5.0,5.0,5.0,5.0,3.0,4.5,4.5,4.5,4.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1290715998svg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.0,2.375
  a man in a costume holding a sword,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardTwoHandedSwordsvg.png,1.0,3.0,3.0,4.0,1.5,2.5,3.0,3.5,2.625
  a colorful circle with gears inside,https://storage.yandexcloud.net/svg-images-first-pack/good1516821400svg.png,1.0,4.0,3.0,3.0,2.5,3.0,3.0,2.5,2.75
  a black and white computer monitor with a black screen,https://storage.yandexcloud.net/svg-images-first-pack/goodAquilaLCDmonitorsvg.png,4.0,3.0,4.0,4.0,3.0,2.0,2.5,3.0,2.625
  colorful blocks and shapes are scattered around a house,https://storage.yandexcloud.net/svg-images-first-pack/goodBuildingBlockToyssvg.png,2.0,2.0,2.0,2.0,3.5,2.5,3.0,2.5,2.875
  the sun with a rainbow face vector,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulSunFacesvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a whiteboard with a black background and a whiteboard,https://storage.yandexcloud.net/svg-images-first-pack/goodcartableouvertsvg.png,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.5
  a cartoon clown with red hair and blue eyes,https://storage.yandexcloud.net/svg-images-first-pack/goodClownIllustration4svg.png,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a circle with many circles in it,https://storage.yandexcloud.net/svg-images-first-pack/goodcirclefadesvg.png,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.25
  red bow clipart,https://storage.yandexcloud.net/svg-images-first-pack/goodAWESOMEROSETTESsvg.png,4.0,4.0,4.0,4.0,3.5,4.0,3.5,4.0,3.75
  ipod touch icon,https://storage.yandexcloud.net/svg-images-first-pack/good1309351300svg.png,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.625
  a rainbow colored wave pattern on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulAbstractGeometricBackgroundsvg.png,4.0,4.0,4.0,4.0,4.0,3.5,3.0,3.0,3.375
  a bicycle wheel with spokes on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodcarlitosBikeWheelsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a woman's eye with a brown eye and a brown eye,https://storage.yandexcloud.net/svg-images-first-pack/goodb59c122esvg.png,4.0,4.0,3.0,3.0,4.5,4.5,4.0,4.0,4.25
  a bicycle with the words ciciliella written on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbiciclettacoloresvg.png,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.25
  a white projection screen on a tripod,https://storage.yandexcloud.net/svg-images-first-pack/goodAJPortableProjectionScreensvg.png,2.0,3.0,2.0,2.0,3.5,4.0,2.5,2.5,3.125
  a cartoon butterfly with a flower in its mouth,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonButterfly01svg.png,4.0,5.0,5.0,3.0,3.0,4.5,3.5,3.0,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1503784313svg.png,1.0,5.0,5.0,5.0,2.5,4.5,4.5,3.0,3.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbofesvg.png,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a kettle with a black handle on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodBollitoresvg.png,4.0,4.0,3.0,3.0,3.5,3.5,2.5,3.0,3.125
  a merry halloween card with a pumpkin and three children,https://storage.yandexcloud.net/svg-images-first-pack/good1538631556svg.png,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good014svg.png,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.75
  a cartoon hand pointing at something,https://storage.yandexcloud.net/svg-images-first-pack/goodaportisvg.png,1.0,1.0,1.0,4.0,1.5,1.5,1.5,3.0,1.875
  gnome clipart free download,https://storage.yandexcloud.net/svg-images-first-pack/good1538697249svg.png,4.0,4.0,4.0,3.0,3.0,3.0,3.5,3.0,3.125
  volleyball girl clipart,https://storage.yandexcloud.net/svg-images-first-pack/good1545356073svg.png,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.25
  a drawing of a man in a crown smoking a cigarette,https://storage.yandexcloud.net/svg-images-first-pack/goodburnmoneykingsvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a dark hallway with trash cans and a ladder,https://storage.yandexcloud.net/svg-images-first-pack/goodAlleysvg.png,4.0,4.0,4.0,3.0,4.0,4.5,4.5,4.0,4.25
  brown shopping bag clip art,https://storage.yandexcloud.net/svg-images-first-pack/goodBrownbagsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  computer and monitor clip art,https://storage.yandexcloud.net/svg-images-first-pack/goodbuggicomputersvg.png,4.0,3.0,3.0,3.0,2.5,2.0,2.5,2.5,2.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1500657158svg.png,1.0,2.0,2.0,2.0,1.0,1.5,2.0,2.0,1.625
  a white person sitting on a chair,https://storage.yandexcloud.net/svg-images-first-pack/good1472534395svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCircleTriquetrasvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a yellow light bulb on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1510725577svg.png,1.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.5
  a set of colorful bows on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulBowsAndRibbonssvg.png,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodchefwithtraysvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a computer monitor with a graph on it,https://storage.yandexcloud.net/svg-images-first-pack/goodcomputerchartsvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  jesus walking in the desert coloring page,https://storage.yandexcloud.net/svg-images-first-pack/good04Genesis28122201svg.png,2.0,2.0,2.0,2.0,2.5,3.0,2.5,2.5,2.625
  a clock with a sun and clouds,https://storage.yandexcloud.net/svg-images-first-pack/goodclockwallsvg.png,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1541378801svg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5
  a cartoon rocket with a blue background,https://storage.yandexcloud.net/svg-images-first-pack/goodAlienRocketVisitorsvg.png,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.75
  a colorful xylophone with two wooden sticks,https://storage.yandexcloud.net/svg-images-first-pack/good1576856128drawnxylophonesvg.png,4.0,4.0,3.0,3.0,3.5,4.0,3.5,3.0,3.5
  a pink flower with green leaves and a bee,https://storage.yandexcloud.net/svg-images-first-pack/good1445007812svg.png,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.75
  a yellow background with three nuts on it,https://storage.yandexcloud.net/svg-images-first-pack/goodchestnutssvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  shazbot - a free online tool for creating and sharing flash animations,https://storage.yandexcloud.net/svg-images-first-pack/good1545350043svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"  a red, blue and yellow pattern with squares",https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern292svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  glasses clipart free download,https://storage.yandexcloud.net/svg-images-first-pack/good34glassesremixedsvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the logo for the chinese company,https://storage.yandexcloud.net/svg-images-first-pack/goodChikuzenFukuokachaptersvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1481686016svg.png,4.0,4.0,4.0,4.0,2.5,2.5,2.5,2.5,2.5
  a yellow dress with red flowers on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAproncarnationsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  an alien spaceship is shown on a yellow sign,https://storage.yandexcloud.net/svg-images-first-pack/goodCautionUFOsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a building with a blue sky and green grass,https://storage.yandexcloud.net/svg-images-first-pack/goodcommercialspacesvg.png,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.625
  a painting of a man in military uniform,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardMacMahonsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a light bulb with a wire attached to it,https://storage.yandexcloud.net/svg-images-first-pack/goodBussinessvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a blue folder icon on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodblankBlueFoldersvg.png,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.5
  a red and black logo with a flame,https://storage.yandexcloud.net/svg-images-first-pack/good1549652369svg.png,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractDesign36svg.png,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good3lor3rdLevelSolidStencilsvg.png,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.25
  a black and white icon with the words % and %,https://storage.yandexcloud.net/svg-images-first-pack/good1552665431svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a cartoon green dinosaur with eyes and a big mouth,https://storage.yandexcloud.net/svg-images-first-pack/good1337553832svg.png,3.0,3.0,3.0,3.0,3.5,4.0,4.0,3.5,3.75
  three red roses in vases with rays of light,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractStillLifesvg.png,2.0,2.0,2.0,2.0,3.5,3.5,3.5,3.5,3.5
  orange circles on black background,https://storage.yandexcloud.net/svg-images-first-pack/good1550513291svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1504162407svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a cartoon boy with a backpack and a backpack,https://storage.yandexcloud.net/svg-images-first-pack/goodbackpackwavingsvg.png,5.0,5.0,5.0,5.0,5.0,4.0,3.5,3.0,3.875
  aristotle could have avoided the mistake of thinking that women are never as strong as men,https://storage.yandexcloud.net/svg-images-first-pack/goodAristotlesvg.png,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.75
  a bottle with a six on it and a piece of paper,https://storage.yandexcloud.net/svg-images-first-pack/goodalchemytreepoisonsvg.png,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0
  four windows with christmas decorations on them,https://storage.yandexcloud.net/svg-images-first-pack/goodCHRISTMASWINDOWSsvg.png,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.5
  a butterfly with purple and blue wings,https://storage.yandexcloud.net/svg-images-first-pack/goodButterfly18Colour2svg.png,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.75
  a cartoon girl with purple pants and pink shoes,https://storage.yandexcloud.net/svg-images-first-pack/goodBethanysvg.png,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.5,3.375
  a bottle of champagne being broken open by a knife,https://storage.yandexcloud.net/svg-images-first-pack/goodchristeningsvg.png,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.5
  a painting of a man in a medieval costume holding a sword,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardHalberdsvg.png,5.0,5.0,5.0,5.0,4.5,4.0,4.0,4.0,4.125
  rice bowl icon,https://storage.yandexcloud.net/svg-images-first-pack/good1551746353svg.png,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5
  a radio with a digital display and buttons,https://storage.yandexcloud.net/svg-images-first-pack/good2009expert1kfasvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon man wearing an orange shirt and a hat,https://storage.yandexcloud.net/svg-images-first-pack/good1543490075svg.png,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.75
  a cartoon boy holding a sign,https://storage.yandexcloud.net/svg-images-first-pack/good1430974338svg.png,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0
  a dolphin is smiling in the water,https://storage.yandexcloud.net/svg-images-first-pack/good1502475717svg.png,3.0,2.0,2.0,1.0,3.5,3.0,3.0,2.5,3.0
  a cartoon koala bear with its arms outstretched,https://storage.yandexcloud.net/svg-images-first-pack/good1461351859svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  the ac logo is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodacsvg.png,5.0,5.0,5.0,5.0,4.5,4.0,3.5,3.0,3.75
  pink bubble clipart,https://storage.yandexcloud.net/svg-images-first-pack/goodannovifriziobubblesvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black and white logo of lungs,https://storage.yandexcloud.net/svg-images-first-pack/goodblacklungiconsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"  a set of colored squares with the letters a, b, c, d, e, f,",https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulWriteDrawIconssvg.png,4.0,4.0,4.0,4.0,3.0,4.0,3.5,4.0,3.625
  a computer screen showing the file manager,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymouspastassvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a cartoon lobster with a chef hat on,https://storage.yandexcloud.net/svg-images-first-pack/goodCrawfishChefsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1461956488svg.png,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
  an illustration of a pagoda with hot air balloons,https://storage.yandexcloud.net/svg-images-first-pack/goodchina1670420svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon image of a fruit and vegetable stand,https://storage.yandexcloud.net/svg-images-first-pack/goodActiviteit02Bloemenmarktsvg.png,6.0,6.0,6.0,6.0,5.0,4.5,4.0,3.5,4.25
  two red fireworks are shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodchinesenewyear02svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the 80s party logo on a purple background,https://storage.yandexcloud.net/svg-images-first-pack/good80ssvg.png,2.0,2.0,2.0,2.0,3.5,3.5,3.5,3.5,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good15291429271svg.png,1.0,1.0,1.0,1.0,2.5,2.0,1.5,1.0,1.75
  a woman with blonde hair and a black top,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoonWomanAvatar2svg.png,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.25
  a stone block with a white background,https://storage.yandexcloud.net/svg-images-first-pack/goodalpinelandscapeplatformtopperfacet01aal1svg.png,4.0,2.0,3.0,2.0,4.5,3.5,2.5,2.5,3.25
  a cartoon man carrying a bag of money,https://storage.yandexcloud.net/svg-images-first-pack/good1527232120svg.png,5.0,4.0,5.0,4.0,4.5,4.0,5.0,4.0,4.375
  a red tag with a price tag and a free sign,https://storage.yandexcloud.net/svg-images-first-pack/good20150321pricetagsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a map of africa with a green dot on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBurkinafasolocationsvg.png,2.0,5.0,4.0,5.0,3.5,5.0,4.5,5.0,4.5
  a yellow train with four doors on each side,https://storage.yandexcloud.net/svg-images-first-pack/good1537385275svg.png,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,4.25
